time,open,high,low,close,Upper Band,Lower Band,Upper Band Extended,Lower Band Extended,Fibonacci 23.6% Up,Fibonacci 38.2% Up,Fibonacci 50.0% Up,Fibonacci 61.8% Up,Fibonacci 23.6% Down,Fibonacci 38.2% Down,Fibonacci 50.0% Down,Fibonacci 61.8% Down
1624320000,31597.8,33253.1,31142.6,32997,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624334400,32997,33089.4,32446.5,32629.8,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624348800,32629.8,32636.9,31050,31211.2,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624363200,31211.3,32098.6,28784.1,31666.2,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624377600,31671.6,33311.5,31558.3,32400,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624392000,32400,32958.7,32140,32520.4,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624406400,32521.2,34400,31703.5,33975.4,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624420800,33969.2,34387.6,33560.1,33981.8,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624435200,33981.8,34536.3,33647.1,33906,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624449600,33906.1,34880,33389,33495.5,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624464000,33495.5,33942.1,32858.2,32865.6,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624478400,32865.6,33753.6,32741.9,33662.9,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624492800,33666.2,33885.5,32330,32584,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624507200,32582.6,33249.8,32284.1,32834.2,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624521600,32834.1,33894,32800,33820.6,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624536000,33820.5,34570,33744,33864.4,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624550400,33864.2,35389.9,33767.8,34839.2,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624564800,34839.2,34979.2,34510.8,34646.2,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624579200,34646.1,35494.6,34237.3,35035.6,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624593600,35035.6,35072.7,33940,34266.9,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624608000,34268.2,34459,33231.9,33278.9,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
